"","ecode","onscode","authority","region","class","tstb_2223","tstb_2324","areabandd_2324"
"95","E1036","E07000036","Erewash","EM","SD",33826.4,34613,2054.2
"96","E1132","E07000041","Exeter","SW","SD",37665.973,38247,2167.61
"97","E1734","E07000087","Fareham","SE","SD",44002.6,44139.4,1972.6
"98","E0533","E07000010","Fenland","E","SD",30663.9632,31059,2213.72
"99","E2240","E07000112","Folkestone & Hythe","SE","SD",39172.2965,39977.1,2222.12
"100","E1633","E07000080","Forest of Dean","SW","SD",30180.1774,30636.3,2116.43
"101","E2335","E07000119","Fylde","NW","SD",31392,31989,2164.97
"102","E4501","E08000037","Gateshead","NE","MD",52660.9,53354.9,2331.96
"103","E3034","E07000173","Gedling","EM","SD",37776.4,38503.7,2287.95
"104","E1634","E07000081","Gloucester","SW","SD",38453.83375,39072.6,2049.27
