"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2017-18 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2016-17 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","12. Is the council tax your authority set subject to a referendum?","13. Are one or more precepting authorities in your area holding a referendum?","14. Average council tax of major precepting authorities in the billing authority's area","...31","...32","15. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 14(a) + 14(b) + 14(c))","16. All parishes that exist in the authority's area in 2016-17 (whether they set a precept or not)","...35","17. Charter Trustees in the authority's area - 2016-17","...37","18. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2016-17","...39"
"1",NA,NA,NA,NA,"2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18",NA,NA,NA,NA,NA,"County or GLA","Police","Fire",NA,"Number","CTB","Number","Tax Base","Number","Tax Base"
"329","E2701","York","UA",NA,"77739476","82333108","667456","703048","77072020","81630060","830062","855647","64723.4","65876.800000000003","98.7","99","317.2","352","64199.199999999997","65570","1210.9100000000001","1255.6500000000001","1200.51","1244.93","2361831",36.0199938996492,3,"No","No","0","221.32","67.19","1544.16","31","29435.3","0","0","31","29435.3"
"330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",NA,NA,NA,NA,"3","4",NA,NA,NA,NA,"5","6",NA,NA,NA,NA,NA,NA,"7","8","9","10",NA,NA,"14",17,19,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Precepting authorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","E7050","Avon & Somerset Police and Crime Commissioner and Chief Constable","PCC",NA,"95873278","99775507.689999998","-","-","95873278","99775507.689999998","0","0","-","-","-","-","-","-","537833.29","548800.16","178.26","181.81","178.26","181.81","0",0,0,"No","-","-","-","-","-","-","-","-","-","-","-"
"337","E6101","Avon Combined Fire Authority","CFA",NA,"23741080","24667868.659999996","-","-","23741080","24667868.659999996","0","0","-","-","-","-","-","-","349493.3","356060.46","67.930000000000007","69.28","67.930000000000007","69.28","0",0,0,"No","-","-","-","-","-","-","-","-","-","-","-"
"338","E6102","Bedfordshire Combined Fire Authority","CFA",NA,"18204579","18993845","-","-","18204579","18993845","0","0","-","-","-","-","-","-","200050","204653","91","92.81","91","92.81","0",0,0,"No","-","-","-","-","-","-","-","-","-","-","-"
"339","E7002","Bedfordshire Police and Crime Commissioner and Chief Constable","PCC",NA,"32578194","33990817","-","-","32578194","33990817","0","0","-","-","-","-","-","-","200050.3","204653","162.85","166.09","162.85","166.09","0",0,0,"No","-","-","-","-","-","-","-","-","-","-","-"
"340","E6103","Berkshire Combined Fire Authority","CFA",NA,"20166894.91","21099982.210000001","-","-","20166894.91","21099982.210000001","0","0","-","-","-","-","-","-","329147.95","337653.74","61.27","62.49","61.27","62.49","0",0,0,"No","-","-","-","-","-","-","-","-","-","-","-"
"341","E0421","Buckinghamshire","SC",NA,"245182859.88","261434671","-","-","245182859.88","261434671","467407","473525","-","-","-","-","-","-","211329.9","214628.8","1160.19","1218.08","1160.19","1218.08","7471229",34.8100021991457,3,"No","-","-","-","-","-","-","-","-","-","-","-"
"342","E6104","Buckinghamshire Combined Fire Authority","CFA",NA,"17413929","18051368.690000001","-","-","17413929","18051368.690000001","0","0","-","-","-","-","-","-","291690.61","296507.37","59.7","60.88","59.7","60.88","0",0,0,"No","-","-","-","-","-","-","-","-","-","-","-"
