ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
E3831,E07000223,Adur,SE,SD,20155.599999999999,20520.599999999999,20707.3,20923.2,21195,21381.4,21232.799999999999,21699.7,21937.3
E1031,E07000032,Amber Valley,EM,SD,37183.599999999999,37554.1,38249.5,39172.699999999997,39539.9,39909.599999999999,39643.5,40307.1,41085.9
E3832,E07000224,Arun,SE,SD,56762,57803,59456,60402,61281,62244,62628,63011,64159
E3031,E07000170,Ashfield,EM,SD,31052.2,31936.3,32546.2,33140.5,33542.5,33695.300000000003,33731.699999999997,34052.699999999997,34428.3
E2231,E07000105,Ashford,SE,SD,42365,43750,44671.7,45680,46500,47300,45173,48663.995000000003,48906
E3531,E07000200,Babergh,E,SD,31641.3,32020,32488.9,32822.1,33358.9,34196.199999999997,33437.1,34878.191149999999,35437.4
E5030,E09000002,Barking and Dagenham,L,OLB,42624.7,45744.6,47273.1,48782.3,50008.5,51204.1,50995.7,52079.199999999997,53326.9
E5031,E09000003,Barnet,L,OLB,132151,135324,139049,141918,145560,147813,148093.79999999999,150833.70000000001,153073
E4401,E08000016,Barnsley,YH,MD,60257.7,60229.1,62346.9,62907.1,64081.5,65405.7,65226.2,66584.600000000006,66446.8
E1531,E07000066,Basildon,E,SD,57381,58577.4,59466,60135,60923.6,61287.199999999997,60840,61376.224000000002,61230.2
E1731,E07000084,Basingstoke & Deane,SE,SD,61635.3,62760.2,63376.9,64085,65768.800000000003,66647.3,66627.199999999997,67823.4375,69037.3
E3032,E07000171,Bassetlaw,EM,SD,32545.3,33079.699999999997,33916.699999999997,34232,34795,35373,35771.5,36396.800000000003,37260.5
E0101,E06000022,Bath & North East Somerset,SW,UA,61950.6,62734.6,63996.2,64346.6,65687.5,66879.899999999994,66711.899999999994,67853.7,68609.9
E0202,E06000055,Bedford,E,UA,53475.5,54954,56815.7,58521,60010.1,60943,58919,61941.990949999999,62443
E5032,E09000004,Bexley,L,OLB,77303,78772,79769,81287.100000000006,81941.2,82218.899999999994,81741.899999999994,82064.800000000003,83123.6
E4601,E08000025,Birmingham,WM,MD,234089,239042,243955,248838,251580,254654,253995,258361.9994,263262
E2431,E07000129,Blaby,EM,SD,30961.9,31566.6,32448.7,32944.1,33441.699999999997,33886.5,33977.1,34246.199999999997,34369.7
E2301,E06000008,Blackburn with Darwen,NW,UA,33052.9,33341.699999999997,33911.4,34341.9,34839.5,35577.599999999999,34938.199999999997,35439.335500000001,36292.8
E2302,E06000009,Blackpool,NW,UA,34866,35562,35662,36219,36521,37157,36853,37140,37830
